,name,category,colors,price,link
66,Nike Zoom Mercurial Vapor 15 Academy XXV TF,Turf Football Shoes,1 Colour,$115,https://www.nike.com/ca/t/zoom-mercurial-vapor-15-academy-xxv-tf-football-shoes-mHmV9v/FB8396-060
67,Nike React Tiempo Legend 9 Pro IC,Indoor/Court Football Shoe,1 Colour,$160,https://www.nike.com/ca/t/react-tiempo-legend-9-pro-ic-indoor-court-football-shoe-mXGWLz/DA1183-174
68,Nike Mercurial Superfly 9 Club,Turf Football Shoes,1 Colour,$95,https://www.nike.com/ca/t/mercurial-superfly-9-club-football-shoes-B7c908/DJ5965-040
69,Nike Tiempo Legend 10 Pro,Turf Football Shoes,1 Colour,$170,https://www.nike.com/ca/t/tiempo-legend-10-pro-football-shoes-54VNn8/DV4336-040
70,Nike Phantom GX Club,Turf Football Shoes,1 Colour,$80,https://www.nike.com/ca/t/phantom-gx-club-football-shoes-0KvsRR/DD9486-040
71,Nike Gripknit Phantom GX Elite Dynamic Fit FG By You,Custom Football Boot,3 Colours,$410,https://www.nike.com/ca/u/custom-nike-phantom-elite-dynamic-fit-by-you-10001413/6780736307
72,Nike Phantom GX Academy,Multi-ground Football Boot,1 Colour,$125,https://www.nike.com/ca/t/phantom-gx-academy-multi-ground-football-boot-hcht0Q/DD9472-040
73,Nike Phantom GX Club,Turf Football Shoes,1 Colour,$95,https://www.nike.com/ca/t/phantom-gx-club-football-shoes-HclDdN/DD9487-040
74,Nike Phantom GX Club,Multi-Ground Football Boot,1 Colour,$95,https://www.nike.com/ca/t/phantom-gx-club-multi-ground-football-boot-VSNFj5/DD9482-040
75,Nike Phantom GX Club,Indoor Court Football Shoes,1 Colour,$80,https://www.nike.com/ca/t/phantom-gx-club-indoor-court-football-shoes-Js5z8J/DD9485-040
76,CTR360 Maestri III FG SE,Firm-Ground Football Boots,1 Colour,$330,https://www.nike.com/ca/t/ctr360-maestri-iii-fg-se-football-boots-XkpzPd/FD3803-710
77,Nike Mercurial Vapor 15 Club,Turf Football Shoes,1 Colour,$80,https://www.nike.com/ca/t/mercurial-vapor-15-club-football-shoes-rgHBRj/DJ5968-040
78,Nike Tiempo Legend 10 Club,Turf Football Shoes,1 Colour,$75,https://www.nike.com/ca/t/tiempo-legend-10-club-football-shoes-glwZrD/DV4345-040
79,Nike Mercurial Superfly 9 Academy,Soft-Ground Football Boot,1 Colour,$135,https://www.nike.com/ca/t/mercurial-superfly-9-academy-football-boot-0qVbMF/DJ5628-040
80,Nike Tiempo Legend 10 Academy,Multi-Ground Football Boot,1 Colour,$105,https://www.nike.com/ca/t/tiempo-legend-10-academy-multi-ground-football-boot-0LthLp/DV4337-040
81,Nike Jr. Zoom Mercurial Vapor 15 Academy XXV TF,Younger/Older Kids' Turf Football Shoes,1 Colour,$75,https://www.nike.com/ca/t/jr-zoom-mercurial-vapor-15-academy-xxv-tf-younger-older-football-shoes-9T76Wq/FJ2039-060
82,Nike Phantom GX Academy,Multi-Ground Football Boot,2 Colours,$115,https://www.nike.com/ca/t/phantom-gx-academy-multi-ground-football-boot-TTdSzp/DD9473-040
83,Nike Mercurial Vapor 15 Club,Indoor Court Football Shoes,1 Colour,$80,https://www.nike.com/ca/t/mercurial-vapor-15-club-indoor-court-football-shoes-KnbHQD/DJ5969-040
84,NikePremier 3,Soft-Ground Football Boot,1 Colour,$160,https://www.nike.com/ca/t/nikepremier-3-football-boot-nKR3ww/AT5890-007
85,Nike Mercurial Superfly 9 Club,Multi-Ground Football Boot,1 Colour,$95,https://www.nike.com/ca/t/mercurial-superfly-9-club-multi-ground-football-boot-0Jt3bT/DJ5961-040
